GENERAL INFO
name,null
elevation (m),2254.799761352539
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Feb 1 2025 11:32 Mountain Standard Time
collectionTime (Unix Time),1738434721
creator name,Coleman Kane
org name,cryogars
295,2.63,964
296,2.63,964
297,2.63,964
298,2.63,964
299,2.13,964
300,2.13,964
301,2.13,964
302,2.18,964
303,2.18,861
304,3.13,861
305,3.13,861
306,3.13,861
307,3.13,861
308,2.88,861
309,2.88,861
310,2.88,861
311,2.58,861
312,2.58,861
313,2.58,755
314,3.13,755
315,3.13,755
316,3.38,755
317,3.23,755
318,3.23,755
319,3.23,755
320,3.43,755
321,3.43,755
322,3.82,624
323,3.82,624
324,3.82,624
325,4.17,624
326,4.17,624
327,4.17,624
328,3.48,624
329,3.48,624
330,3.48,624
331,4.57,591
332,4.57,591
333,4.57,591
334,4.82,591
335,4.82,591
336,4.82,591
337,4.17,591
338,4.17,591
339,4.17,591
340,4.17,591
341,4.17,505
342,4.17,505
343,4.62,505
344,4.62,505
345,4.62,505
346,4.62,505
347,4.82,505
348,4.82,505
349,4.82,505
350,4.82,505
351,4.52,505
352,4.52,455
353,5.41,455
354,5.41,455
355,5.41,455
356,5.41,455
357,4.82,455
358,4.82,455
359,4.82,455
360,5.36,455
361,5.36,455
362,5.36,530
363,5.86,530
364,5.86,530
365,5.86,530
366,5.61,530
367,5.46,530
368,5.46,530
369,5.46,530
370,5.76,530
371,5.76,530
372,5.76,530
373,6.11,573
374,6.11,573
375,6.11,573
376,6.11,573
377,6.96,573
378,6.96,573
379,6.96,573
380,6.96,573
381,6.96,573
382,5.76,573
383,5.76,573
384,5.76,573
385,5.41,621
386,5.41,621
387,5.41,621
388,3.87,621
389,3.87,621
390,3.87,621
391,3.87,621
392,3.87,621
393,6.86,621
394,6.86,621
395,6.86,621
396,6.86,621
397,6.86,745
398,6.86,745
399,6.86,745
400,3.72,745
401,3.72,745
402,3.72,745
403,3.72,745
404,3.87,745
405,3.87,745
406,3.87,745
407,3.87,745
408,3.23,745
409,3.23,604
410,6.56,604
411,6.56,604
412,6.56,604
413,6.56,604
414,5.32,604
415,5.32,604
416,5.32,604
417,6.06,604
418,6.06,604
419,6.06,536
420,5.56,536
421,5.56,536
422,5.56,536
423,6.06,536
424,6.76,536
425,6.76,536
426,6.76,536
427,6.06,536
428,6.06,536
429,6.06,536
430,6.51,387
431,6.51,387
432,6.51,387
433,6.51,387
434,6.36,387
435,6.36,387
436,6.36,387
437,6.36,387
438,6.36,387
439,6.06,387
440,6.06,387
441,6.06,387
442,9.04,528
443,9.04,528
444,9.04,528
445,8.45,528
446,8.45,528
447,8.45,528
448,8.45,528
449,8.45,528
450,7.1,528
451,7.1,528
452,7.1,528
453,7.1,528
454,7.1,537
455,7.1,537
456,7.1,537
457,9.79,537
458,9.79,537
459,9.79,537
460,9.79,537
461,9.79,537
462,8.65,537
463,8.65,537
464,8.65,537
465,8.65,537
466,8.65,537
467,7.7,537
468,7.7,565
469,7.7,565
470,11.43,565
471,11.43,565
472,11.43,565
473,11.43,565
474,9.19,565
475,9.19,565
476,9.19,565
477,9.19,565
478,10.44,565
479,10.44,565
480,10.44,614
481,11.93,614
482,11.93,614
483,11.93,614
484,11.93,614
485,14.66,614
486,11.78,614
487,11.78,614
488,11.78,614
489,11.78,614
490,10.64,614
491,10.64,614
492,10.64,614
493,14.46,546
494,14.46,546
495,14.46,546
496,14.46,546
497,14.31,546
498,14.31,546
499,14.31,546
500,14.31,546
501,14.31,546
502,14.26,546
503,14.26,546
504,14.26,546
505,14.26,546
506,11.53,599
507,11.53,599
508,11.53,599
509,11.53,599
510,10.14,599
511,10.14,599
512,10.14,599
513,10.14,599
514,14.21,599
515,14.21,599
516,14.21,599
517,14.21,599
518,14.21,599
519,14.21,825
520,14.21,825
521,14.21,825
522,12.18,825
523,12.18,825
524,12.18,825
525,12.18,825
526,12.18,825
527,11.73,825
528,11.73,825
529,11.73,825
530,11.73,825
531,11.13,825
532,11.13,572
533,11.13,572
534,21.97,572
535,21.97,572
536,21.97,572
537,21.97,572
538,21.97,572
539,14.66,572
540,14.66,572
541,14.66,572
542,14.66,572
543,18.39,572
544,18.39,572
545,18.39,610
546,32.46,610
547,32.46,610
548,32.46,610
549,32.46,610
550,25.5,610
551,27.79,610
552,27.79,610
553,27.79,610
554,27.79,610
555,28.53,610
556,28.53,610
557,28.53,610
558,10.14,675
559,10.14,675
560,10.14,675
561,10.14,675
562,11.03,675
563,11.03,675
564,11.03,675
565,11.03,675
566,11.03,675
567,21.23,675
568,21.23,675
569,21.23,675
570,21.23,675
571,31.87,796
572,31.87,796
573,31.87,796
574,31.87,796
575,6.01,796
576,6.01,796
577,6.01,796
578,6.01,796
579,11.03,796
580,11.03,796
581,11.03,796
582,11.03,796
583,11.03,796
584,11.03,586
585,11.03,586
586,11.03,586
587,13.02,586
588,13.02,586
589,13.02,586
590,13.02,586
591,10.19,586
592,10.19,586
593,10.19,586
594,10.19,586
595,13.37,586
596,13.37,595
597,13.37,595
598,11.33,595
599,11.33,595
600,11.33,595
601,11.33,595
602,11.33,595
603,9.84,595
604,9.84,595
605,9.84,595
606,9.84,595
607,11.33,595
608,11.33,595
609,11.33,612
610,31.87,612
611,31.87,612
612,31.87,612
613,31.87,612
614,27.34,612
615,12.72,612
616,12.72,612
617,12.72,612
618,12.72,612
619,25,612
620,25,612
621,25,612
622,25.75,607
623,25.75,607
624,25.75,607
625,25.75,607
626,23.11,607
627,23.11,607
628,23.11,607
629,23.11,607
630,23.11,607
631,27.34,607
632,27.34,607
633,27.34,607
634,13.07,570
635,13.07,570
636,13.07,570
637,16.25,570
638,16.25,570
639,16.25,570
640,16.25,570
641,16.25,570
642,16.65,570
643,16.65,570
644,16.65,570
645,16.65,570
646,16.65,701
647,16.65,701
648,16.65,701
649,18.29,701
650,18.29,701
651,18.29,701
652,18.29,701
653,16.25,701
654,16.25,701
655,16.25,701
656,16.25,701
657,16.85,701
658,16.85,696
659,16.85,696
660,29.03,696
661,29.03,696
662,29.03,696
663,29.03,696
664,18.44,696
665,18.44,696
666,18.44,696
667,18.44,696
668,24.9,696
669,24.9,696
670,24.9,582
671,36.59,582
672,36.59,582
673,36.59,582
674,24.71,582
675,31.17,582
676,31.17,582
677,31.17,582
678,31.72,582
679,31.72,582
680,31.72,582
681,32.01,739
682,32.01,739
683,32.01,739
684,32.01,739
685,35.79,739
686,35.79,739
687,35.79,739
688,35.79,739
689,35.79,739
690,26.84,739
691,26.84,739
692,26.84,739
693,55.18,931
694,55.18,931
695,55.18,931
696,67.81,931
697,67.81,931
698,67.81,931
699,67.81,931
700,55.18,931
701,55.18,931
702,55.18,931
703,55.18,931
704,55.18,682
705,55.18,682
706,50.86,682
707,50.86,682
708,50.86,682
709,50.86,682
710,53.89,682
711,53.89,682
712,53.89,682
713,53.89,682
714,50.11,682
715,50.11,897
716,57.52,897
717,57.52,897
718,57.52,897
719,57.52,897
720,55.33,897
721,55.33,897
722,55.33,897
723,64.03,897
724,64.03,897
725,64.03,873
726,39.62,873
727,39.62,873
728,39.62,873
729,48.12,873
730,45.39,873
731,45.39,873
732,45.39,873
733,42.9,873
734,42.9,873
735,59.16,855
736,59.16,855
737,59.16,855
738,56.03,855
739,56.03,855
740,56.03,855
741,56.03,855
742,57.97,855
743,57.97,855
744,57.97,855
745,56.48,809
746,56.48,809
747,56.48,809
748,61.7,809
749,61.7,809
750,61.7,809
751,51.46,809
752,51.46,809
753,51.46,809
754,51.46,809
755,51.46,813
756,51.46,813
757,52,813
758,52,813
759,52,813
760,55.28,813
761,55.28,813
762,55.28,813
763,56.58,813
764,56.58,734
765,122.65,734
766,122.65,734
767,122.65,734
768,77.66,734
769,77.66,734
770,77.66,734
771,117.78,734
772,117.78,743
773,107.19,743
774,107.19,743
775,124.1,743
776,96.85,743
777,96.85,743
778,96.85,743
779,95.01,743
780,95.01,743
781,95.36,1020
782,95.36,1020
783,95.36,1020
784,81.88,1020
785,81.88,1020
786,81.88,1020
787,120.12,1020
788,120.12,1020
789,71.64,788
790,71.64,788
791,69.45,788
792,69.45,788
793,78.2,788
794,78.2,788
795,78.2,788
796,78.2,809
797,78.4,809
798,78.4,809
799,78.4,809
800,68.91,809
801,68.91,809
802,71.49,809
803,71.49,872
804,86.01,872
805,86.01,872
806,73.43,872
807,73.43,872
808,73.43,872
809,77.91,872
810,72.49,806
811,72.49,806
812,72.49,806
813,79.94,806
814,79.94,806
815,75.52,806
816,75.52,806
817,94.26,849
818,95.01,849
819,95.01,849
820,79.8,849
821,79.8,849
822,133.24,901
823,127.28,901
824,127.28,901
825,127.28,901
826,106.1,901
827,106.1,901
828,106.1,764
829,109.03,764
830,109.03,764
831,105.8,764
832,115.1,764
833,69.11,838
834,69.11,838
835,98.24,838
836,98.24,838
837,83.38,838
838,71.39,738
839,71.39,738
840,72.04,738
841,72.04,738
842,74.72,738
843,89.24,815
844,106.1,815
845,106.1,815
846,82.43,815
847,117.33,992
848,88.3,992
849,119.87,992
850,119.87,992
851,119.87,743
852,68.21,743
853,77.66,743
854,77.16,743
855,102.07,819
856,75.17,819
857,85.71,819
858,139.46,885
859,119.32,885
860,119.52,885
861,135.53,885
862,58.81,846
863,48.97,846
864,80.69,846
865,36.39,906
866,39.52,906
867,56.08,898
868,43.45,898
869,74.03,791
870,68.06,791
871,74.97,838
872,75.42,838
873,93.42,851
874,114.55,788
875,119.17,865
